Field,News type,N professors - men,N professors - women,News mentions - men,News mentions - women,Avg. news mentions - men,Avg. news mentions - women,Share mentions per source - men,Share mentions per source - women
All fields,All news,4990,1801,379459,86257,76.044,47.894,1,1
Arts & Humanities,All news,247,110,17718,3194,71.733,29.036,1,1
Arts & Humanities,International news,247,110,5125,628,20.749,5.709,0.289,0.197
Arts & Humanities,National news,247,110,338,43,1.368,0.391,0.019,0.013
Arts & Humanities,Other news,247,110,2282,718,9.239,6.527,0.129,0.225
Arts & Humanities,Regional news,247,110,9973,1805,40.377,16.409,0.563,0.565
Medicine,All news,1283,546,80031,19129,62.378,35.035,1,1
Medicine,International news,1283,546,18887,4313,14.721,7.899,0.236,0.225
Medicine,National news,1283,546,3222,612,2.511,1.121,0.04,0.032
Medicine,Other news,1283,546,33335,7154,25.982,13.103,0.417,0.374
Medicine,Regional news,1283,546,24587,7050,19.164,12.912,0.307,0.369
STEM,All news,1841,381,117908,14562,64.046,38.22,1,1
STEM,International news,1841,381,22896,1909,12.437,5.01,0.194,0.131
STEM,National news,1841,381,5044,742,2.74,1.948,0.043,0.051
STEM,Other news,1841,381,57215,7030,31.078,18.451,0.485,0.483
STEM,Regional news,1841,381,32753,4881,17.791,12.811,0.278,0.335
Social sciences,All news,1619,764,163802,49372,101.175,64.623,1,1
Social sciences,International news,1619,764,47608,13770,29.406,18.024,0.291,0.279
Social sciences,National news,1619,764,3504,737,2.164,0.965,0.021,0.015
Social sciences,Other news,1619,764,32835,9616,20.281,12.586,0.2,0.195
Social sciences,Regional news,1619,764,79855,25249,49.324,33.048,0.488,0.511
