yearly_field,n
Medicine,1279
Social Sciences,1052
"Biochemistry, Genetics and Molecular Biology",526
Engineering,521
Arts and Humanities,422
"Business, Management and Accounting",366
Computer Science,350
"Economics, Econometrics and Finance",306
Agricultural and Biological Sciences,290
Physics and Astronomy,232
Psychology,197
Environmental Science,185
Health Professions,162
Neuroscience,126
Chemistry,124
Earth and Planetary Sciences,108
Immunology and Microbiology,92
Mathematics,79
Decision Sciences,66
Materials Science,66
Energy,27
Chemical Engineering,21
Dentistry,18
Nursing,11
"Pharmacology, Toxicology and Pharmaceutics",6
Veterinary,1
