year_group,field,total_m,total_w,total_wilc_test,online_total_m,online_total_w,online_total_wilc_test,twitter_total_m,twitter_total_w,twitter_total_wilc_test
up to 10,Arts & Humanities,53.43,18.67,NA,0,0,NA,0.14,0,NA
up to 10,Medicine,25.2,39,,3.13,3.56,,26.53,73.11,*
up to 10,STEM,48.37,132.11,,7,3.44,,388.11,136.56,
up to 10,Social sciences,64.46,28.39,,0.23,2.29,*,4.8,10.29,*
up to 20,Arts & Humanities,53.15,23.68,,0.48,0.67,,14,26.06,
up to 20,Medicine,49.87,24.19,*,142.92,147.54,,1377.31,792.04,*
up to 20,STEM,60.11,17.67,*,95.84,78.7,,697.4,681.13,
up to 20,Social sciences,49.01,43.79,*,25.96,23.22,**,129.42,118.9,
up to 30,Arts & Humanities,55.85,23.23,*,8.19,8.59,,32.04,12.77,
up to 30,Medicine,54.53,32.4,*,200.03,146.63,,1182.3,665.85,
up to 30,STEM,36.25,36.56,,120.94,98.01,*,663.54,587.71,
up to 30,Social sciences,108.71,61.11,***,37.7,38.04,*,185.99,189.72,*
up to 40,Arts & Humanities,68.48,41.29,,4.17,3.94,*,7.76,26.68,*
up to 40,Medicine,57.67,36.36,,220.45,259.91,,998.76,898.28,
up to 40,STEM,55.01,38.8,,103.47,94.99,*,414.67,337.54,
up to 40,Social sciences,102.05,84.34,**,35.59,49.02,*,159.95,116.68,
up to 50,Arts & Humanities,135.11,27.5,*,7.31,1,,40.58,16.83,
up to 50,Medicine,104.52,53.33,*,190.67,178.09,,1032.92,1006.58,
up to 50,STEM,138.32,56.64,,133.39,133.12,,428.98,174.21,
up to 50,Social sciences,158.31,86.83,*,71.09,45.14,,112.19,389.9,
